x	y	z
     0.157     -0.447    -18.345
     0.146     -0.614    -14.538
     0.159      0.048    -18.954
     0.162     -0.379    -22.490
     0.141      0.501    -11.152
     0.155     -0.569    -21.143
     0.138      0.046    -11.903
     0.141     -0.727    -16.463
     0.145     -0.622    -18.186
     0.153      0.238    -18.897
     0.141     -0.025    -14.656
     0.138     -0.763    -16.438
     0.137     -0.061    -13.765
     0.145     -0.064    -18.066
     0.129     -0.554    -12.522
     0.152      0.444    -20.878
     0.139      0.445    -15.025
     0.135      0.440    -13.812
     0.130     -0.124    -13.022
     0.134     -0.401    -16.761
     0.121     -0.225     -9.990
     0.138     -0.458    -19.105
     0.125      0.289    -10.351
     0.114      0.022     -5.921
     0.117      0.035     -7.694
     0.122     -0.570    -12.924
     0.099      0.384      1.292
     0.109     -0.540     -6.943
     0.114     -1.045    -11.745
     0.119     -0.056    -10.859
     0.120      0.133    -10.823
     0.117      0.355     -9.035
     0.117     -1.659    -15.697
     0.116     -0.749    -11.860
     0.130     -0.334    -18.164
     0.123     -0.166    -14.273
     0.108     -0.335     -7.145
     0.144     -0.635    -26.525
     0.107     -0.185     -6.372
     0.116      0.402     -9.453
     0.127      0.630    -15.446
     0.119     -0.230    -14.519
     0.122      0.231    -14.744
     0.110      0.407     -8.126
     0.134      0.026    -21.908
     0.121      0.519    -13.867
     0.109      0.020     -9.412
     0.109     -0.061     -9.899
     0.122     -0.864    -20.037
     0.108      0.107    -10.096
     0.145     -0.399    -32.592
     0.145      1.422    -26.927
     0.110     -0.474    -13.951
     0.098     -0.842     -9.038
     0.110     -0.355    -14.389
     0.097      0.213     -5.094
     0.094      0.138     -3.854
     0.101      0.228     -8.556
     0.108      0.103    -13.481
     0.100     -1.069    -14.136
     0.107     -0.884    -18.635
     0.107     -0.034    -16.432
     0.118     -0.630    -25.220
     0.100     -1.319    -16.612
     0.100     -0.199    -13.036
     0.106      0.446    -15.847
     0.089      0.538     -4.821
     0.108      0.361    -17.744
     0.102     -0.291    -16.912
     0.101     -0.459    -17.293
     0.114      0.592    -22.820
     0.107     -0.308    -21.500
     0.097      1.201    -10.205
     0.100     -0.075    -17.697
     0.091     -0.281    -12.137
     0.086      0.018     -8.788
     0.094      0.789    -11.931
     0.093      0.286    -13.928
     0.096     -0.110    -18.657
     0.074     -0.751     -6.145
     0.082     -0.761    -12.537
     0.086     -0.218    -13.987
     0.083     -0.542    -13.464
     0.082      0.108    -11.199
     0.097     -0.352    -24.655
     0.088     -0.077    -17.065
     0.054      0.721     10.759
     0.088      0.324    -16.925
     0.083     -0.475    -15.281
     0.084     -1.050    -17.970
     0.100     -0.400    -28.992
     0.090      0.248    -19.359
     0.084      0.397    -14.880
     0.085     -0.324    -18.215
     0.083      0.484    -14.618
     0.079      1.145    -10.611
     0.076      0.102    -12.424
     0.082     -0.886    -21.204
     0.075      0.038    -12.896
     0.062     -0.001     -2.426
     0.082      0.400    -18.820
     0.077     -0.438    -17.637
     0.073     -0.556    -14.761
     0.075     -0.090    -15.888
     0.067      0.163     -8.073
     0.065      0.603     -5.572
     0.080      0.345    -20.762
     0.057      0.033     -1.730
     0.068     -0.212    -12.711
     0.065     -0.144    -11.478
     0.079     -0.838    -27.440
     0.066      0.828     -9.933
     0.071      0.356    -19.004
     0.061     -1.043    -13.637
     0.067     -0.038    -16.374
     0.061      0.346    -10.847
     0.045     -1.046     -1.252
     0.059      0.911    -11.210
     0.075     -0.717    -34.420
     0.053      0.334     -8.704
     0.054     -0.420    -12.745
     0.059      0.098    -16.153
     0.046     -1.007     -7.705
     0.049      0.267     -7.275
     0.051     -0.461    -13.265
     0.048     -0.026     -8.616
     0.048     -0.836    -12.249
     0.061     -0.281    -27.605
     0.062     -0.451    -29.198
     0.054      0.227    -17.504
     0.050      0.398    -12.122
     0.047     -0.607    -12.645
     0.049     -0.018    -13.775
     0.047     -0.701    -14.588
     0.041      0.100     -9.391
     0.041      0.584     -9.533
     0.037     -0.023    -11.241
     0.048     -0.385    -30.776
     0.035     -0.406    -10.776
     0.041     -1.716    -27.388
     0.034     -0.297    -18.084
     0.031      0.795    -12.890
     0.028      0.550    -11.039
     0.029      0.148    -15.457
     0.027      0.054    -13.968
     0.024     -0.662    -10.602
     0.027      0.303    -16.863
     0.021     -0.043     -9.149
     0.025     -0.450    -22.231
     0.020     -0.614    -10.801
     0.018     -0.368     -7.661
     0.014     -0.035      3.930
     0.018      0.536     -9.255
     0.021     -0.110    -19.359
     0.011     -0.363     10.442
     0.021      0.663    -20.374
     0.017     -0.360    -16.806
     0.017      1.205    -11.760
     0.015      0.726     -9.974
     0.012      0.451    -12.014
     0.014      1.148    -21.143
     0.008      0.552      2.354
     0.011      0.487    -15.545
     0.011      0.031    -17.590
     0.010     -0.039    -13.338
     0.010     -0.949    -15.127
     0.008     -0.282    -15.536
     0.007      0.556    -16.257
     0.005      0.494    -11.094
     0.005     -0.133    -11.623
     0.004     -0.442     -9.039
     0.004     -0.209    -11.234
     0.003     -1.797    -17.455
     0.003      0.258    -19.646
     0.001     -0.329     -3.260
     0.001     -0.141    -12.570
     0.001     -0.365    -18.283
     0.000      0.760     -5.930
    -0.001     -0.284    -24.492
    -0.003      0.315     -5.622
    -0.004     -0.158    -16.281
    -0.007     -0.279     -5.433
    -0.007      0.332      5.347
    -0.010      0.533    -11.765
    -0.011      0.083    -10.852
    -0.012     -0.620    -11.679
    -0.013      0.851     -8.904
    -0.013      0.702     -7.197
    -0.014      0.054     -6.786
    -0.023      0.533    -42.446
    -0.014     -0.458     -6.632
    -0.015     -0.471     -9.467
    -0.018     -0.561    -16.256
    -0.019      0.214    -16.391
    -0.019     -0.087    -17.536
    -0.017      0.680     -4.431
    -0.021     -0.324    -18.650
    -0.022      0.063    -11.388
    -0.021     -0.638     -7.093
    -0.024     -0.194    -12.026
    -0.027      0.430    -16.705
    -0.025     -1.177    -14.935
    -0.030      0.120    -17.971
    -0.028     -0.959    -16.671
    -0.024      0.098     -0.449
    -0.031      1.172    -11.124
    -0.030      0.679     -4.537
    -0.033     -0.592    -14.993
    -0.034      0.492    -10.635
    -0.037      0.287    -15.699
    -0.038     -0.040    -18.446
    -0.037     -0.147    -15.046
    -0.033      0.281     -6.659
    -0.035      0.603     -8.481
    -0.039      0.008    -16.004
    -0.040      0.811    -13.579
    -0.034      0.060     -5.900
    -0.039     -0.707    -14.167
    -0.042      1.376    -11.359
    -0.037     -0.095     -8.605
    -0.051      0.012    -28.228
    -0.044      0.216    -17.254
    -0.040     -0.571    -13.310
    -0.042     -0.284    -14.117
    -0.038      0.095     -5.441
    -0.063      2.373    -29.465
    -0.043     -0.920    -12.195
    -0.052      0.740    -16.864
    -0.047     -0.649    -14.029
    -0.049     -0.495    -16.287
    -0.054     -0.264    -19.923
    -0.046     -0.688    -11.690
    -0.033      0.143      9.733
    -0.054     -0.814    -18.787
    -0.054      0.297    -15.231
    -0.049     -0.637    -10.743
    -0.057      1.719    -11.624
    -0.055      1.159    -10.597
    -0.062     -0.458    -21.569
    -0.057     -0.581    -12.769
    -0.054      0.460     -6.373
    -0.058     -0.620    -13.612
    -0.061      1.123    -11.257
    -0.073      1.350    -21.546
    -0.057      1.023     -5.671
    -0.054      0.488     -4.259
    -0.056      0.365     -6.245
    -0.063      0.504    -12.791
    -0.058      1.583     -3.488
    -0.062     -0.930    -14.604
    -0.053      0.257     -1.661
    -0.065     -0.434    -15.319
    -0.062      0.243     -9.597
    -0.073      1.046    -16.696
    -0.059     -1.272     -9.341
    -0.071      0.284    -15.127
    -0.069     -0.436    -14.621
    -0.066     -0.150    -10.856
    -0.065      0.696     -5.365
    -0.077      0.844    -14.292
    -0.064     -0.289     -6.975
    -0.065     -0.278     -7.525
    -0.074     -0.313    -14.004
    -0.072      0.747     -7.384
    -0.077      0.265    -12.177
    -0.081     -1.353    -19.169
    -0.077     -0.289    -11.829
    -0.087      0.145    -17.160
    -0.079      0.499    -10.104
    -0.078      0.238     -9.317
    -0.085     -0.343    -16.780
    -0.083      0.554    -12.093
    -0.089      0.273    -17.149
    -0.091      0.565    -17.365
    -0.086      0.763    -12.823
    -0.090     -0.644    -19.106
    -0.085     -0.451    -13.824
    -0.071      0.653      0.492
    -0.079      0.868     -3.170
    -0.087      0.273    -10.080
    -0.096     -0.033    -15.933
    -0.093      1.332     -9.460
    -0.091      1.086     -8.615
    -0.106      0.202    -21.645
    -0.072     -0.848     -1.712
    -0.096     -0.039    -15.338
    -0.076      0.450      0.662
    -0.099     -0.188    -16.581
    -0.095     -0.091    -12.990
    -0.095     -0.657    -12.834
    -0.090     -0.408     -7.034
    -0.110     -0.018    -17.675
    -0.102      0.576    -10.544
    -0.095     -0.277     -8.195
    -0.092     -0.264     -5.701
    -0.113      0.527    -15.208
    -0.104     -0.204    -11.659
    -0.115      0.453    -14.578
    -0.117      0.134    -16.730
    -0.073      0.320      9.344
    -0.097      0.849     -2.340
    -0.109     -0.478    -13.393
    -0.109      0.454     -9.332
    -0.120     -1.459    -21.112
    -0.107      0.066     -8.504
    -0.115      0.469    -10.861
    -0.115     -0.623    -14.016
    -0.116     -0.183    -12.728
    -0.134      0.347    -20.293
    -0.126      0.581    -15.259
    -0.103     -0.150     -5.346
    -0.121     -0.288    -15.321
    -0.112     -0.190    -10.200
    -0.128     -0.586    -19.634
    -0.130     -0.370    -20.090
    -0.101      0.149     -2.718
    -0.112      0.169     -7.992
    -0.141     -0.060    -23.797
    -0.118      0.848     -7.804
    -0.112     -0.350     -8.632
    -0.129      0.811    -12.768
    -0.114     -0.028     -7.951
    -0.121     -0.252    -10.904
    -0.133      0.490    -13.974
    -0.117     -0.302     -8.067
    -0.119      0.325     -6.649
    -0.127     -0.118    -11.957
    -0.104     -0.913     -3.286
    -0.132     -0.471    -14.475
    -0.138      0.376    -14.726
    -0.128     -0.892    -13.985
    -0.127     -0.408    -11.058
    -0.110      0.248     -0.580
    -0.134      0.833     -9.649
    -0.129      0.470     -8.168
    -0.139      0.150    -13.269
    -0.111     -0.176     -1.155
    -0.139      1.000     -9.533
    -0.132      0.949     -6.551
    -0.148      0.038    -16.054
    -0.144      0.288    -11.821
    -0.136      0.179     -8.819
    -0.136     -0.448    -10.580
    -0.134      0.307     -6.280
    -0.119     -0.243     -1.505
    -0.167     -0.628    -23.117
    -0.179      0.145    -25.339
    -0.136      0.278     -6.329
    -0.145     -0.602    -11.972
    -0.150      1.239     -7.333
    -0.168      0.567    -16.000
    -0.138      0.213     -3.671
    -0.171     -0.896    -20.027
    -0.164      0.152    -13.622
    -0.157     -0.053    -11.384
    -0.170      0.232    -15.033
    -0.151      0.080     -7.846
    -0.164      1.260     -8.970
    -0.173      0.235    -14.804
    -0.156     -0.523    -10.851
    -0.154      0.578     -6.369
    -0.178      0.662    -15.022
    -0.159      0.367     -8.675
    -0.169     -0.132    -13.514
    -0.183      0.147    -17.206
    -0.148      0.498     -3.056
    -0.176      0.298    -14.067
    -0.166      1.123     -7.211
    -0.159     -0.063     -8.282
    -0.176      0.116    -14.001
    -0.179     -0.248    -15.345
    -0.179     -0.425    -15.567
    -0.179      0.162    -12.000
    -0.149     -0.393     -3.290
    -0.182      1.435     -7.610
    -0.177      0.356     -9.494
    -0.170      0.457     -6.609
    -0.183     -0.810    -14.687
    -0.160      0.220     -3.387
    -0.160     -0.971     -6.775
    -0.172      0.592     -5.575
    -0.173     -0.126     -7.750
    -0.180     -0.224    -10.383
    -0.153      0.349      0.336
    -0.185     -0.387    -12.400
    -0.188     -0.382    -13.345
    -0.191      1.467     -7.963
    -0.151     -0.318     -0.525
    -0.215      0.265    -19.864
    -0.179      0.368     -7.229
    -0.199     -1.038    -18.156
    -0.215      0.258    -18.920
    -0.182      0.318     -7.496
    -0.154     -0.280     -0.551
    -0.184      0.238     -8.188
    -0.183      1.036     -4.731
    -0.196      0.016    -11.913
    -0.198     -0.577    -14.173
    -0.209     -0.484    -17.090
    -0.201      0.276    -11.803
    -0.195     -0.688    -12.684
    -0.234     -0.384    -23.479
    -0.186     -0.246     -8.182
    -0.217     -0.271    -17.470
    -0.202     -0.509    -13.531
    -0.198     -0.114    -10.401
    -0.235     -0.048    -21.385
    -0.214      0.423    -13.547
    -0.226      0.979    -14.869
    -0.236      0.133    -20.277
    -0.190      0.064     -6.267
    -0.219      0.605    -13.123
    -0.239      0.183    -20.388
    -0.223      0.314    -14.897
    -0.210      0.440    -10.438
    -0.257     -0.535    -27.314
    -0.199      0.120     -8.010
    -0.223      1.166    -11.060
    -0.235      0.731    -14.623
    -0.234      1.374    -12.331
    -0.213      1.150     -7.033
    -0.212      0.896     -7.403
    -0.236      0.876    -13.261
    -0.213     -0.334    -10.015
    -0.245      0.166    -15.993
    -0.234      1.248     -9.065
    -0.199     -0.236     -4.133
    -0.206      0.037     -4.963
    -0.225     -0.761    -12.533
    -0.198     -0.383     -3.746
    -0.190      0.464      1.228
    -0.245      0.810    -12.357
    -0.259     -0.739    -20.982
    -0.226      0.554     -7.964
    -0.239     -0.474    -14.245
    -0.226      0.986     -6.016
    -0.241      1.302     -9.036
    -0.252      0.284    -15.187
    -0.262      0.373    -17.284
    -0.261      0.259    -17.168
    -0.235     -0.135    -11.574
    -0.242     -0.034    -12.876
    -0.224      0.727     -5.219
    -0.250     -0.621    -16.323
    -0.269      0.546    -17.241
    -0.264      0.118    -16.942
    -0.275      0.157    -19.504
    -0.249      0.302    -11.881
    -0.248     -0.013    -12.665
    -0.271      0.475    -16.892
    -0.244     -1.344    -15.738
    -0.205      0.070     -1.360
    -0.242      0.469     -9.185
    -0.243      1.067     -7.210
    -0.263      0.424    -14.294
    -0.254      0.456    -12.006
    -0.248     -1.182    -15.098
    -0.292     -1.220    -25.607
    -0.274     -0.810    -19.445
    -0.297      0.297    -21.057
    -0.246      1.146     -5.536
    -0.221      0.754     -0.619
    -0.231     -0.195     -5.606
    -0.280      1.448    -11.790
    -0.283      1.527    -11.962
    -0.266      0.332    -11.981
    -0.224     -0.381     -3.981
    -0.266      0.042    -12.672
    -0.196     -0.211      3.270
    -0.240      0.049     -5.963
    -0.299      0.207    -18.787
    -0.310      0.576    -19.752
    -0.282     -0.407    -16.073
    -0.288     -0.551    -17.777
    -0.280     -0.235    -14.738
    -0.287      0.296    -14.326
    -0.306      1.084    -15.317
    -0.301      0.961    -14.196
    -0.329      0.719    -20.934
    -0.180     -0.570      8.385
    -0.293      0.343    -13.442
    -0.268     -0.161     -9.544
    -0.285      0.660    -10.502
    -0.281      0.596     -9.787
    -0.273      0.388     -8.751
    -0.276      0.843     -7.779
    -0.268     -0.513     -9.899
    -0.302     -0.780    -18.171
    -0.332     -0.121    -22.175
    -0.288      1.332     -7.934
    -0.285      1.165     -7.649
    -0.301     -0.435    -16.338
    -0.283     -0.428    -12.085
    -0.261      0.654     -3.253
    -0.261     -0.475     -6.520
    -0.302     -0.701    -15.701
    -0.307      1.225    -10.456
    -0.305     -0.473    -15.380
    -0.304      0.010    -13.536
    -0.299     -0.709    -14.627
    -0.340      0.066    -20.155
    -0.370     -0.628    -28.580
    -0.307     -0.479    -15.081
    -0.329     -0.079    -18.109
    -0.333     -1.126    -22.031
    -0.322     -0.504    -17.459
    -0.288     -0.631    -10.779
    -0.232      0.942      6.375
    -0.332     -0.755    -19.188
    -0.273     -0.094     -5.254
    -0.292     -0.406     -9.789
    -0.317      1.283     -9.109
    -0.312     -0.078    -12.321
    -0.399      0.569    -27.336
    -0.299      0.965     -5.798
    -0.313     -0.538    -13.389
    -0.331     -0.125    -15.137
    -0.284     -0.229     -6.389
    -0.298     -0.123     -8.585
    -0.193     -0.410     10.975
    -0.319      0.247    -11.459
    -0.280      0.447     -3.035
    -0.361      0.280    -18.928
    -0.352     -0.556    -19.852
    -0.365     -1.316    -24.642
    -0.348     -0.275    -17.886
    -0.273      0.021     -2.573
    -0.311      0.316     -8.445
    -0.312      1.620     -4.129
    -0.314     -0.249    -10.387
    -0.246     -0.194      2.844
    -0.294      0.062     -5.311
    -0.318      0.449     -8.483
    -0.323     -0.303    -11.594
    -0.364      0.257    -17.157
    -0.335      0.967     -9.371
    -0.312     -0.291     -9.263
    -0.340      0.530    -11.401
    -0.344     -0.117    -14.308
    -0.342      0.234    -12.712
    -0.293     -0.699     -6.491
    -0.333     -0.771    -13.941
    -0.459      1.052    -31.188
    -0.380     -0.396    -20.640
    -0.368      0.865    -14.096
    -0.337      0.199    -10.402
    -0.323      0.569     -6.427
    -0.378     -0.120    -17.486
    -0.312     -0.345     -6.577
    -0.330      0.516     -6.769
    -0.394      0.650    -17.244
    -0.322     -0.760     -9.150
    -0.317      0.697     -3.307
    -0.359      0.194    -11.819
    -0.368     -0.777    -16.534
    -0.316      0.644     -2.786
    -0.399      0.335    -18.108
    -0.380      0.351    -14.584
    -0.384     -0.037    -16.113
    -0.351     -0.519    -12.127
    -0.375     -0.013    -14.472
    -0.386     -0.189    -16.319
    -0.347      0.020     -8.954
    -0.392     -0.709    -18.854
    -0.276     -0.518      1.820
    -0.334      0.700     -3.794
    -0.103      0.165     33.146
    -0.370      0.044    -11.851
    -0.355      1.165     -5.662
    -0.395      1.364    -11.614
    -0.328     -0.218     -5.592
    -0.354     -0.713    -11.453
    -0.363     -1.412    -15.096
    -0.352     -1.343    -12.792
    -0.396     -1.226    -19.541
    -0.398     -0.379    -17.044
    -0.397      0.645    -13.307
    -0.400     -0.431    -17.062
    -0.403     -1.094    -19.636
    -0.367     -0.218    -10.773
    -0.404      1.018    -12.092
    -0.444      0.838    -19.037
    -0.373      0.081     -9.661
    -0.334     -0.381     -4.767
    -0.324     -0.456     -3.400
    -0.356     -0.398     -7.978
    -0.394      0.291    -11.718
    -0.385     -0.209    -11.929
    -0.326     -0.158     -2.319
    -0.425      0.735    -14.717
    -0.400      0.417    -11.809
    -0.388      0.559     -9.326
    -0.423      0.010    -16.674
    -0.411      0.484    -12.900
    -0.403      0.218    -12.353
    -0.424      0.763    -13.611
    -0.375     -0.107     -8.607
    -0.423      1.491    -10.829
    -0.404      0.869     -9.837
    -0.411     -1.097    -17.167
    -0.378      0.010     -8.473
    -0.263     -0.470      7.936
    -0.417     -0.279    -14.981
    -0.332     -0.447     -2.407
    -0.327      0.681      2.085
    -0.482     -1.155    -27.510
    -0.405      0.785     -9.252
    -0.394      0.091     -9.709
    -0.386     -0.314     -9.735
    -0.401      0.619     -8.723
    -0.388      0.784     -6.112
    -0.391     -0.404    -10.051
    -0.421      1.335     -8.546
    -0.359     -0.071     -3.785
    -0.409     -0.108    -11.425
    -0.381      0.065     -6.613
    -0.383      1.556     -1.896
    -0.445     -0.207    -16.660
    -0.432      0.109    -13.547
    -0.396      0.300     -7.490
    -0.306     -0.259      4.077
    -0.456     -0.124    -17.411
    -0.450      1.168    -12.138
    -0.438      1.065    -10.672
    -0.317     -0.993      0.523
    -0.439     -0.086    -14.110
    -0.471     -0.323    -19.108
    -0.421      0.045    -10.592
    -0.387     -1.148     -9.362
    -0.457      0.301    -14.378
    -0.423      1.068     -6.957
    -0.423     -0.126    -10.794
    -0.421      0.816     -7.438
    -0.420      1.200     -5.879
    -0.392      0.797     -3.035
    -0.427     -0.509    -12.183
    -0.373     -0.369     -4.050
    -0.433     -0.638    -13.340
    -0.443      1.002     -9.258
    -0.394     -0.264     -6.401
    -0.472      0.885    -13.631
    -0.440      0.033    -11.861
    -0.438      0.925     -8.635
    -0.468      1.045    -11.591
    -0.427     -0.657    -11.230
    -0.475     -0.058    -15.849
    -0.438     -0.477    -11.912
    -0.494      0.465    -16.420
    -0.476      1.263    -11.382
    -0.422      0.167     -7.520
    -0.427     -0.104     -8.782
    -0.374      0.477      0.511
    -0.416     -0.420     -8.099
    -0.457     -0.272    -12.717
    -0.415      0.123     -5.681
    -0.375      0.010     -0.592
    -0.551      0.833    -21.397
    -0.489     -0.095    -16.014
    -0.451      0.711     -8.030
    -0.493     -0.446    -17.183
    -0.506      0.423    -16.032
    -0.573     -0.217    -26.979
    -0.507      0.125    -17.022
    -0.441      0.528     -6.531
    -0.408     -0.430     -5.155
    -0.514      0.397    -16.251
    -0.422     -0.792     -7.883
    -0.454      0.130     -9.101
    -0.527      0.063    -18.941
    -0.481      1.685     -7.573
    -0.444     -0.432     -9.603
    -0.468      0.350    -10.115
    -0.404      0.063     -2.504
    -0.451      0.318     -7.719
    -0.455     -0.661    -11.478
    -0.507      1.408    -11.327
    -0.491     -0.228    -14.546
    -0.411      0.376     -1.815
    -0.525     -0.118    -18.007
    -0.495     -0.168    -14.279
    -0.478      1.070     -7.884
    -0.545     -0.570    -21.863
    -0.393      0.370      0.727
    -0.497      1.007    -10.280
    -0.441     -1.098    -10.018
    -0.497     -0.438    -14.736
    -0.553      0.673    -18.239
    -0.411     -0.452     -3.680
    -0.494      0.205    -11.997
    -0.480      0.746     -8.219
    -0.606      0.752    -23.955
    -0.520      0.551    -13.726
    -0.518      0.243    -13.983
    -0.428      0.711     -1.036
    -0.487     -0.076    -10.843
    -0.500     -0.564    -14.013
    -0.372     -0.833      0.990
    -0.435      0.110     -3.695
    -0.457     -0.225     -7.525
    -0.530     -0.310    -16.641
    -0.465      0.747     -5.096
    -0.580     -0.168    -22.235
    -0.476      1.183     -4.930
    -0.481      0.285     -8.470
    -0.533      0.766    -13.246
    -0.509     -0.626    -14.712
    -0.478      0.343     -7.668
    -0.533      0.523    -13.750
    -0.537      0.065    -15.613
    -0.510      1.260     -8.420
    -0.390      0.212      3.038
    -0.523      0.656    -11.640
    -0.453      0.056     -5.127
    -0.516      0.026    -12.803
    -0.495      0.048     -9.756
    -0.490      0.842     -6.458
    -0.553      1.055    -13.096
    -0.558      0.018    -16.889
    -0.496      0.192     -8.596
    -0.529      0.040    -12.955
    -0.589      0.802    -17.164
    -0.555     -0.006    -15.747
    -0.491      0.728     -5.516
    -0.499      0.834     -5.908
    -0.524      0.526     -9.837
    -0.534      0.065    -12.542
    -0.631      0.541    -22.269
    -0.503      0.467     -7.429
    -0.511     -0.297    -10.740
    -0.458     -0.298     -4.309
    -0.574     -0.378    -18.044
    -0.511      1.273     -5.102
    -0.584      0.394    -16.451
    -0.503     -0.482     -9.759
    -0.560      0.910    -11.735
    -0.529      0.774     -8.414
    -0.567     -0.336    -16.434
    -0.509      0.742     -6.127
    -0.498     -0.721     -9.670
    -0.497      0.330     -6.119
    -0.494     -0.448     -8.141
    -0.589      0.504    -15.888
    -0.348     -0.136      9.666
    -0.595      0.157    -17.434
    -0.521      0.747     -6.655
    -0.589     -0.130    -17.044
    -0.530      1.040     -6.597
    -0.514      0.270     -7.170
    -0.452     -0.691     -3.391
    -0.545     -0.436    -12.895
    -0.541      0.012    -11.050
    -0.495      0.851     -2.822
    -0.511     -0.553     -9.134
    -0.509     -0.404     -8.080
    -0.521      0.702     -5.353
    -0.654      0.945    -19.038
    -0.525     -0.655     -9.964
    -0.581      0.411    -12.499
    -0.525      0.243     -6.724
    -0.554     -0.452    -12.241
    -0.578     -0.362    -14.501
    -0.548     -0.137    -10.259
    -0.565     -0.250    -12.455
    -0.466      0.133     -0.345
    -0.593     -0.784    -17.095
    -0.592      0.462    -12.794
    -0.538      0.799     -5.855
    -0.582      0.159    -12.732
    -0.608      1.239    -11.848
    -0.591      0.243    -13.151
    -0.581      1.179     -9.005
    -0.543      0.893     -5.673
    -0.497     -0.531     -5.335
    -0.599      0.689    -12.288
    -0.559     -0.149    -10.595
    -0.630      0.645    -15.561
    -0.492     -0.567     -4.725
    -0.512      0.850     -1.962
    -0.536     -0.164     -7.643
    -0.596      0.907    -10.541
    -0.502     -0.362     -4.394
    -0.646     -0.827    -21.153
    -0.579      0.019    -11.213
    -0.608     -0.194    -14.650
    -0.610     -0.198    -14.915
    -0.491     -0.580     -3.647
    -0.581      0.921     -7.904
    -0.683      1.125    -17.988
    -0.559     -0.660    -10.837
    -0.617      1.244    -10.614
    -0.615     -0.581    -16.200
    -0.595      0.033    -11.911
    -0.588      0.754     -8.768
    -0.642     -0.197    -17.335
    -0.583     -0.412    -11.877
    -0.612     -0.420    -14.418
    -0.618     -0.477    -15.183
    -0.644      0.098    -15.894
    -0.616     -0.843    -16.076
    -0.553     -0.048     -6.985
    -0.658      1.820    -11.389
    -0.589     -1.039    -13.693
    -0.571     -0.327     -9.473
    -0.587     -0.050    -10.140
    -0.599     -0.980    -14.330
    -0.630     -0.911    -17.308
    -0.570      0.793     -5.606
    -0.596     -0.710    -12.526
    -0.718      1.947    -16.081
    -0.625      0.769    -10.449
    -0.599     -0.364    -11.568
    -0.660      0.213    -15.584
    -0.611     -1.336    -15.640
    -0.605     -0.272    -11.549
    -0.620     -0.474    -13.700
    -0.576     -0.497     -9.227
    -0.627     -0.216    -13.264
    -0.618      1.636     -6.184
    -0.626     -0.208    -12.919
    -0.619      0.881     -8.633
    -0.692     -0.689    -21.045
    -0.614      0.700     -8.740
    -0.626      0.549    -10.309
    -0.605     -0.475    -11.087
    -0.643      0.716    -10.938
    -0.674     -0.409    -17.609
    -0.689     -0.237    -18.299
    -0.572     -0.440     -7.432
    -0.635      0.684     -9.803
    -0.618      0.135     -9.860
    -0.590     -0.245     -8.284
    -0.649     -0.385    -14.406
    -0.642      1.187     -8.539
    -0.641      0.241    -11.419
    -0.642     -0.364    -13.392
    -0.675     -0.585    -17.263
    -0.630     -0.559    -12.649
    -0.680     -0.225    -16.189
    -0.651      0.062    -12.014
    -0.520     -0.496     -1.252
    -0.660      0.243    -11.914
    -0.704      1.372    -12.399
    -0.573     -0.405     -5.678
    -0.581     -0.111     -5.479
    -0.663     -0.161    -13.310
    -0.675      0.749    -11.371
    -0.674     -0.397    -15.050
    -0.544     -0.293     -2.335
    -0.570      0.436     -2.274
    -0.706      1.493    -11.246
    -0.652      0.042    -10.917
    -0.730      1.795    -12.028
    -0.633     -0.888    -11.771
    -0.662      1.400     -6.876
    -0.675      1.145     -8.511
    -0.665      0.451     -9.830
    -0.670     -0.007    -11.745
    -0.659     -0.022    -10.687
    -0.642     -0.193     -9.565
    -0.741      1.392    -13.474
    -0.630      0.967     -4.328
    -0.695     -0.585    -15.313
    -0.649     -0.405    -10.382
    -0.665      0.176     -9.891
    -0.699     -0.102    -13.805
    -0.656      0.840     -6.757
    -0.625      0.188     -5.867
    -0.693     -0.216    -13.042
    -0.591     -0.354     -4.192
    -0.721     -0.031    -14.777
    -0.731      0.266    -14.561
    -0.758     -0.148    -18.105
    -0.723     -0.023    -14.625
    -0.637      0.032     -6.671
    -0.744     -0.468    -17.697
    -0.745      1.571    -10.892
    -0.693     -0.505    -13.009
    -0.544     -0.131      1.506
    -0.761     -0.038    -17.360
    -0.756      1.390    -12.145
    -0.655     -0.766    -10.105
    -0.659     -0.786    -10.474
    -0.677     -1.158    -13.175
    -0.699     -0.654    -13.452
    -0.666     -0.598    -10.365
    -0.645     -0.501     -8.185
    -0.638      0.850     -3.095
    -0.602      0.044     -2.526
    -0.668      1.529     -3.324
    -0.725     -0.860    -16.142
    -0.569     -0.417     -0.981
    -0.772      1.357    -12.635
    -0.737     -0.058    -14.066
    -0.635     -1.264     -9.133
    -0.753     -0.394    -16.316
    -0.693     -0.790    -12.298
    -0.708      0.900     -7.976
    -0.751     -0.691    -16.377
    -0.636      0.627     -2.224
    -0.697     -0.436    -10.864
    -0.701      0.580     -7.865
    -0.821     -0.093    -20.201
    -0.768      1.718     -9.726
    -0.719     -0.015    -11.297
    -0.687     -0.400     -9.482
    -0.813      1.592    -13.586
    -0.684      0.943     -4.816
    -0.647      0.796     -2.110
    -0.763     -0.528    -16.017
    -0.691      0.729     -5.711
    -0.776      1.322    -10.860
    -0.703     -0.716    -11.284
    -0.725     -0.104    -11.012
    -0.684     -0.006     -7.082
    -0.722      0.768     -7.604
    -0.874     -0.575    -24.474
    -0.702     -0.844    -11.055
