x	y	z
     0.988     -0.321    -16.767
     1.008     -0.038    -17.245
     0.942     -0.301    -13.776
     0.942     -0.367    -14.176
     0.905     -0.219    -11.434
     0.875     -0.481    -10.457
     0.951      0.248    -13.185
     0.842     -0.195     -7.317
     0.996     -0.198    -17.940
     0.921      0.025    -12.204
     0.847     -1.275    -11.674
     0.942     -0.126    -14.448
     1.000     -0.571    -19.791
     0.966     -0.434    -17.108
     0.932     -0.780    -16.405
     0.972     -0.086    -16.961
     0.932     -0.105    -14.271
     0.965     -0.390    -17.474
     0.820      0.015     -6.395
     0.909     -0.429    -14.166
     0.914     -0.165    -13.773
     0.848     -0.103     -9.234
     0.988     -0.929    -21.712
     0.721     -1.000     -3.782
     0.901      0.395    -11.825
     1.033     -1.176    -26.372
     0.973     -0.106    -18.740
     0.905     -0.454    -15.114
     0.878      0.035    -11.965
     0.934      0.046    -16.554
     0.932     -0.546    -18.488
     0.911     -1.149    -19.048
     1.019     -0.120    -23.451
     0.615     -0.656      3.451
     0.818     -0.242     -9.913
     0.782      0.311     -5.573
     0.923     -1.999    -23.461
     0.923     -0.323    -18.755
     0.877     -2.063    -21.078
     0.874     -0.616    -16.152
     0.884     -0.094    -15.270
     0.835     -1.005    -14.711
     0.908      0.543    -15.125
     0.873     -0.439    -16.014
     0.833     -0.205    -12.349
     0.857     -0.169    -14.031
     0.701     -0.337     -3.123
     0.945     -0.149    -20.684
     0.868     -0.173    -15.046
     0.764     -0.197     -7.462
     0.795     -0.726    -11.482
     0.979     -0.431    -24.306
     0.890     -0.238    -17.077
     0.813      0.002    -10.603
     0.879     -0.138    -15.993
     0.596     -0.160      4.930
     0.871     -0.204    -15.806
     0.889     -1.125    -20.151
     0.905     -0.547    -19.628
     0.799     -0.644    -12.118
     0.896     -0.273    -18.150
     0.823     -0.120    -12.229
     0.842     -0.405    -15.270
     0.845      0.230    -13.792
     0.831     -0.125    -14.051
     0.859     -0.202    -16.871
     0.902     -1.393    -24.141
     0.806      0.138    -12.055
     0.888     -1.955    -25.329
     0.750     -0.291     -9.205
     0.801     -1.896    -18.653
     0.809     -0.190    -13.701
     0.827     -2.053    -21.309
     0.784      0.373    -10.135
     0.809     -0.297    -14.703
     0.780     -1.183    -15.484
     0.766     -0.741    -12.942
     0.773     -0.168    -11.748
     0.788      0.135    -11.946
     0.815     -0.022    -14.673
     0.814     -0.125    -14.956
     0.828     -0.075    -16.013
     0.790     -1.173    -16.566
     0.755      0.102     -9.579
     0.739      0.004     -8.733
     0.687     -1.239     -8.876
     0.815      0.198    -14.543
     0.842     -0.138    -17.787
     0.792     -1.329    -17.796
     0.745     -0.387    -11.300
     0.901      0.384    -21.438
     0.886     -0.421    -23.369
     0.802     -0.300    -16.284
     0.817     -0.945    -19.710
     0.679     -0.021     -5.526
     0.774     -0.185    -13.797
     0.768     -0.242    -13.734
     0.593     -0.000      1.318
     0.791     -0.413    -16.386
     0.759     -1.177    -16.317
     0.816     -0.197    -17.988
     0.753      0.058    -12.146
     0.893     -0.397    -25.168
     0.769     -0.263    -14.526
     0.824     -0.352    -19.421
     0.846      0.027    -19.980
     0.786     -0.331    -16.297
     0.758      0.044    -12.759
     0.714     -0.116     -9.615
     0.698     -0.071     -8.265
     0.763     -0.228    -14.159
     0.809     -0.609    -19.787
     0.867      0.287    -21.758
     0.723     -0.717    -13.041
     0.664     -1.467    -10.588
     0.853     -0.671    -23.956
     0.761     -0.171    -14.820
     0.717     -0.404    -11.891
     0.751     -0.245    -14.289
     0.669     -1.340    -11.130
     0.754     -0.271    -15.073
     0.708     -0.240    -11.290
     0.748     -0.116    -14.348
     0.758      0.215    -14.393
     0.885     -0.405    -27.386
     0.767     -1.805    -21.969
     0.743      0.230    -13.320
     0.742     -1.270    -18.207
     0.792     -0.493    -20.036
     0.729      0.136    -12.507
     0.787      0.094    -17.723
     0.779     -0.582    -19.417
     0.694      0.192     -9.468
     0.716     -0.454    -13.585
     0.644     -0.955     -9.135
     0.578      0.450      1.121
     0.758      0.170    -15.422
     0.748      0.186    -14.726
     0.656     -0.164     -8.347
     0.728     -0.565    -16.070
     0.705     -0.077    -12.455
     0.797     -1.365    -24.792
     0.749     -0.337    -17.344
     0.771     -0.190    -19.002
     0.741     -0.874    -18.665
     0.841     -0.415    -26.159
     1.009     -0.340    -40.871
     0.688     -0.471    -12.835
     0.754     -0.237    -17.976
     0.599     -0.338     -4.621
     0.762      0.257    -17.288
     0.699     -0.279    -13.503
     0.741     -0.184    -17.058
     0.644     -0.247     -8.656
     0.935     -0.574    -36.228
     0.738     -0.710    -19.117
     0.732     -0.342    -17.504
     0.851     -0.430    -28.702
     0.781     -0.587    -22.956
     0.793     -1.249    -26.655
     0.719     -0.321    -17.251
     0.611     -0.231     -7.125
     0.633     -1.116    -12.130
     0.622     -0.283     -8.513
     0.784     -0.247    -23.517
     0.715      0.263    -15.518
     0.592     -0.007     -5.030
     0.588      0.039     -4.527
     0.709     -0.408    -17.332
     0.770     -0.396    -22.992
     0.746     -0.215    -20.171
     0.685      0.070    -13.615
     0.668      0.011    -12.532
     0.658     -0.372    -12.971
     0.701     -0.561    -17.807
     0.321      0.072     19.966
     0.605      0.017     -6.965
     0.799     -0.291    -26.272
     0.854     -0.390    -31.906
     0.676      0.184    -13.288
     0.680     -0.594    -16.333
     0.708     -0.276    -17.905
     0.652      0.095    -11.598
     0.756     -0.202    -22.788
     0.657     -0.577    -14.616
     0.703     -0.294    -18.137
     0.635     -0.645    -12.929
     0.551     -0.310     -3.927
     0.626     -0.259    -11.190
     0.678     -0.068    -15.589
     0.635     -0.008    -11.297
     0.717     -0.087    -19.604
     0.657     -0.324    -14.597
     0.619     -0.231    -10.667
     0.635     -0.184    -12.001
     0.614      0.529     -7.834
     0.614     -0.143    -10.538
     0.679     -0.908    -19.836
     0.633     -0.500    -14.174
     0.892     -0.612    -40.315
     0.649     -0.072    -14.791
     0.756     -0.359    -26.347
     0.620      0.051    -11.537
     0.657      0.110    -15.166
     0.547     -0.584     -6.542
     0.717     -0.300    -22.791
     0.686     -0.398    -20.100
     0.661      0.116    -15.928
     0.593     -0.447    -11.086
     0.670     -0.681    -19.941
     0.627      0.099    -13.231
     0.589     -1.517    -14.895
     0.654     -0.161    -17.393
     0.636     -1.118    -18.898
     0.653     -0.017    -17.016
     0.597      0.091    -10.932
     0.690     -0.219    -21.674
     0.565     -0.553    -10.107
     0.610     -0.204    -13.710
     0.689     -0.236    -21.985
     0.743     -0.271    -27.717
     0.440      0.046      4.504
     0.622     -0.944    -17.625
     0.661     -0.499    -20.376
     0.651     -0.461    -19.205
     0.625     -0.221    -15.716
     0.614      0.137    -13.476
     0.575      0.056     -9.811
     0.591     -0.148    -12.348
     0.580     -0.775    -13.399
     0.612     -0.125    -14.674
     0.652     -0.104    -18.885
     0.611      0.209    -13.550
     0.667     -0.207    -20.836
     0.541     -0.484     -8.457
     0.581     -0.371    -12.421
     0.618      0.334    -14.329
     0.562     -0.657    -11.757
     0.607     -0.555    -16.212
     0.568     -0.466    -11.900
     0.608      0.542    -12.875
     0.575     -1.732    -17.062
     0.590     -0.167    -13.743
     0.652      0.293    -18.914
     0.664     -0.528    -22.894
     0.558     -0.278    -11.150
     0.604     -0.874    -18.254
     0.558     -0.371    -11.714
     0.537     -0.150     -8.712
     0.616     -0.884    -19.844
     0.639     -0.173    -20.105
     0.594      0.020    -14.487
     0.375      0.018      9.259
     0.636     -0.373    -20.607
     0.555     -0.587    -12.594
     0.592      0.050    -14.855
     0.560     -0.562    -13.487
     0.582     -0.797    -16.826
     0.546      0.085    -10.344
     0.711     -0.572    -31.033
     0.634     -0.067    -21.026
     0.763     -0.612    -37.176
     0.616     -0.419    -20.218
     0.549      0.161    -10.911
     0.525     -0.144     -9.270
     0.551     -0.369    -12.947
     0.624      0.066    -19.806
     0.483     -0.219     -4.894
     0.544     -0.057    -11.555
     0.516     -0.267     -9.217
     0.657     -0.172    -24.791
     0.639     -0.247    -23.082
     0.504     -0.226     -8.027
     0.573     -1.751    -20.916
     0.668     -0.109    -26.634
     0.560     -0.798    -16.621
     0.535      0.234    -10.557
     0.572     -0.503    -17.180
     0.566      0.228    -14.601
     0.569      0.764    -13.262
     0.524      0.022    -10.530
     0.532      0.664     -9.693
     0.537     -0.342    -13.752
     0.507     -1.024    -12.512
     0.557      0.063    -15.181
     0.520      0.455     -9.569
     0.524     -0.675    -13.755
     0.597     -0.235    -21.008
     0.534     -0.406    -14.241
     0.510      0.050    -10.170
     0.682     -0.394    -32.049
     0.529      0.255    -12.064
     0.528     -0.342    -14.227
     0.567     -0.318    -18.961
     0.525     -0.575    -14.948
     0.533      0.491    -12.502
     0.631     -0.226    -26.716
     0.552     -0.398    -18.164
     0.555      0.055    -17.024
     0.554     -0.062    -17.424
     0.550      0.353    -15.515
     0.572     -0.283    -20.396
     0.510     -0.301    -13.136
     0.513     -0.682    -14.928
     0.664     -0.515    -32.845
     0.551      0.324    -16.563
     0.500      0.183    -10.891
     0.572     -0.162    -20.922
     0.482     -0.323    -10.427
     0.610     -0.249    -26.027
     0.502     -0.558    -14.056
     0.613      0.488    -25.025
     0.573     -0.294    -22.636
     0.555     -0.208    -20.545
     0.532      0.147    -16.503
     0.539     -0.369    -19.229
     0.515     -0.392    -16.365
     0.521     -0.544    -17.790
     0.615     -0.470    -29.433
     0.662     -0.686    -36.176
     0.508     -0.752    -16.907
     0.423     -0.585     -5.615
     0.517      0.014    -15.734
     0.585     -0.158    -25.044
     0.509      0.338    -14.276
     0.485     -0.393    -13.515
     0.548     -0.713    -22.778
     0.577     -0.708    -27.294
