OGLE-LMC-CEP-0175 04 50 54.07 -69 31 41.6
OGLE-LMC-CEP-0176 04 50 55.69 -68 53 40.4
OGLE-LMC-CEP-0177 04 50 56.40 -69 12 50.9
OGLE-LMC-CEP-0179 04 51 01.39 -69 36 08.0
OGLE-LMC-CEP-0180 04 51 02.49 -69 54 49.4
OGLE-LMC-CEP-0181 04 51 04.91 -67 21 51.0
OGLE-LMC-CEP-0186 04 51 09.63 -69 08 23.1
OGLE-LMC-CEP-0188 04 51 12.68 -68 44 16.8
OGLE-LMC-CEP-0189 04 51 15.58 -69 05 17.3
OGLE-LMC-CEP-0191 04 51 17.96 -69 45 44.6
OGLE-LMC-CEP-0194 04 51 22.23 -70 35 31.7
OGLE-LMC-CEP-0196 04 51 24.14 -66 57 33.9
OGLE-LMC-CEP-0197 04 51 24.38 -68 36 46.2
OGLE-LMC-CEP-0198 04 51 25.94 -69 33 11.6
OGLE-LMC-CEP-0199 04 51 27.77 -69 29 22.1
OGLE-LMC-CEP-0201 04 51 31.78 -68 13 32.9
OGLE-LMC-CEP-0205 04 51 42.56 -69 36 30.6
OGLE-LMC-CEP-0206 04 51 45.34 -66 47 29.5
OGLE-LMC-CEP-0209 04 51 52.67 -69 05 48.9
OGLE-LMC-CEP-0210 04 51 55.36 -68 40 13.8
OGLE-LMC-CEP-0211 04 51 56.12 -69 20 36.7
OGLE-LMC-CEP-0213 04 52 00.78 -67 39 48.9
OGLE-LMC-CEP-0214 04 52 04.03 -68 25 18.3
OGLE-LMC-CEP-0215 04 52 05.56 -69 15 20.1
OGLE-LMC-CEP-0216 04 52 05.58 -69 23 26.8
OGLE-LMC-CEP-0217 04 52 06.15 -69 46 09.3
OGLE-LMC-CEP-0218 04 52 07.70 -69 36 50.9
OGLE-LMC-CEP-0222 04 52 13.34 -68 51 23.7
OGLE-LMC-CEP-0223 04 52 13.34 -69 52 02.0
OGLE-LMC-CEP-0224 04 52 13.93 -69 00 42.2
OGLE-LMC-CEP-0225 04 52 14.63 -66 35 32.3
OGLE-LMC-CEP-0226 04 52 15.36 -68 49 44.8
OGLE-LMC-CEP-0227 04 52 15.70 -70 14 31.3
OGLE-LMC-CEP-0229 04 52 19.44 -69 23 01.4
OGLE-LMC-CEP-0230 04 52 19.85 -69 05 29.1
OGLE-LMC-CEP-0235 04 52 26.64 -69 10 10.9
OGLE-LMC-CEP-0236 04 52 27.37 -69 30 54.8
OGLE-LMC-CEP-0237 04 52 27.78 -66 46 09.6
OGLE-LMC-CEP-0238 04 52 28.61 -68 57 39.3
OGLE-LMC-CEP-0239 04 52 31.98 -69 44 20.4
OGLE-LMC-CEP-0246 04 52 46.28 -67 38 03.4
OGLE-LMC-CEP-0250 04 52 48.10 -68 38 45.9
OGLE-LMC-CEP-0253 04 52 50.19 -69 04 19.7
OGLE-LMC-CEP-0254 04 52 50.36 -68 30 36.2
OGLE-LMC-CEP-0255 04 52 51.77 -66 58 05.6
OGLE-LMC-CEP-0257 04 52 52.87 -68 01 25.3
OGLE-LMC-CEP-0258 04 52 54.21 -69 16 35.1
OGLE-LMC-CEP-0262 04 52 57.56 -67 25 02.6
OGLE-LMC-CEP-0263 04 53 00.21 -68 59 58.6
OGLE-LMC-CEP-0264 04 53 00.51 -68 53 49.3
OGLE-LMC-CEP-0266 04 53 01.05 -68 32 25.2
OGLE-LMC-CEP-0267 04 53 02.91 -68 54 28.4
OGLE-LMC-CEP-0269 04 53 08.94 -70 08 16.2
OGLE-LMC-CEP-0270 04 53 09.26 -68 12 40.5
OGLE-LMC-CEP-0271 04 53 10.27 -70 13 08.9
OGLE-LMC-CEP-0272 04 53 10.79 -67 00 41.1
OGLE-LMC-CEP-0273 04 53 10.92 -67 36 21.1
OGLE-LMC-CEP-0274 04 53 11.29 -69 02 29.9
OGLE-LMC-CEP-0275 04 53 13.52 -69 39 08.4
OGLE-LMC-CEP-0276 04 53 15.21 -68 53 05.2
OGLE-LMC-CEP-0278 04 53 15.76 -68 57 16.3
OGLE-LMC-CEP-0279 04 53 16.84 -69 40 17.6
OGLE-LMC-CEP-0280 04 53 19.17 -66 56 00.5
OGLE-LMC-CEP-0281 04 53 21.87 -69 09 20.1
OGLE-LMC-CEP-0282 04 53 23.85 -68 32 21.1
OGLE-LMC-CEP-0285 04 53 28.59 -69 01 47.5
OGLE-LMC-CEP-0286 04 53 29.23 -66 57 14.4
OGLE-LMC-CEP-0289 04 53 31.77 -69 16 53.9
OGLE-LMC-CEP-0290 04 53 33.59 -67 22 07.7
OGLE-LMC-CEP-0291 04 53 33.76 -69 45 33.6
OGLE-LMC-CEP-0292 04 53 35.03 -66 38 55.0
OGLE-LMC-CEP-0293 04 53 36.42 -68 38 55.5
OGLE-LMC-CEP-0295 04 53 36.94 -68 21 52.5
OGLE-LMC-CEP-0296 04 53 38.15 -68 40 02.2
OGLE-LMC-CEP-0299 04 53 42.70 -70 23 10.9
OGLE-LMC-CEP-0301 04 53 45.65 -69 23 28.6
OGLE-LMC-CEP-0303 04 53 46.68 -68 32 18.0
OGLE-LMC-CEP-0304 04 53 46.91 -69 19 12.9
OGLE-LMC-CEP-0306 04 53 49.76 -69 34 05.7
OGLE-LMC-CEP-0308 04 54 01.13 -69 18 51.8
OGLE-LMC-CEP-0313 04 54 05.62 -68 55 31.2
OGLE-LMC-CEP-0316 04 54 12.93 -67 49 30.3
OGLE-LMC-CEP-0317 04 54 13.77 -68 02 05.4
OGLE-LMC-CEP-0319 04 54 14.75 -69 02 13.9
OGLE-LMC-CEP-0321 04 54 18.77 -68 50 41.7
OGLE-LMC-CEP-0322 04 54 20.95 -68 03 50.5
OGLE-LMC-CEP-0324 04 54 21.73 -69 13 42.3
OGLE-LMC-CEP-0325 04 54 21.73 -69 47 40.1
OGLE-LMC-CEP-0329 04 54 24.37 -70 55 24.2
OGLE-LMC-CEP-0331 04 54 28.10 -68 29 54.4
OGLE-LMC-CEP-0332 04 54 33.69 -70 19 36.3
OGLE-LMC-CEP-0333 04 54 36.49 -71 15 24.2
OGLE-LMC-CEP-0335 04 54 38.11 -68 04 21.1
OGLE-LMC-CEP-0337 04 54 38.74 -68 36 37.5
OGLE-LMC-CEP-0339 04 54 43.83 -70 50 04.1
OGLE-LMC-CEP-0340 04 54 44.43 -68 23 49.7
OGLE-LMC-CEP-0345 04 54 49.61 -69 14 29.9
OGLE-LMC-CEP-0346 04 54 50.14 -69 14 12.3
OGLE-LMC-CEP-0349 04 54 52.31 -69 14 40.2
OGLE-LMC-CEP-0350 04 54 52.53 -69 10 27.8
OGLE-LMC-CEP-0351 04 54 52.74 -69 14 02.1
OGLE-LMC-CEP-0352 04 54 54.05 -68 32 29.9
OGLE-LMC-CEP-0353 04 54 54.25 -67 13 36.1
OGLE-LMC-CEP-0354 04 54 54.58 -68 51 44.2
OGLE-LMC-CEP-0357 04 54 55.65 -68 56 25.1
OGLE-LMC-CEP-0359 04 55 00.48 -67 14 40.3
OGLE-LMC-CEP-0361 04 55 01.34 -70 10 48.2
OGLE-LMC-CEP-0362 04 55 01.44 -71 02 14.6
OGLE-LMC-CEP-0364 04 55 01.86 -68 45 21.4
OGLE-LMC-CEP-0365 04 55 02.14 -67 59 59.5
OGLE-LMC-CEP-0366 04 55 04.38 -69 46 22.8
OGLE-LMC-CEP-0369 04 55 06.64 -71 04 53.9
OGLE-LMC-CEP-0370 04 55 06.83 -69 04 29.8
OGLE-LMC-CEP-0373 04 55 11.64 -69 19 44.4
OGLE-LMC-CEP-0377 04 55 16.22 -68 12 19.1
OGLE-LMC-CEP-0378 04 55 17.05 -69 20 13.8
OGLE-LMC-CEP-0380 04 55 21.42 -68 39 59.5
OGLE-LMC-CEP-0382 04 55 22.41 -68 49 18.8
OGLE-LMC-CEP-0384 04 55 23.97 -68 32 37.0
OGLE-LMC-CEP-0385 04 55 25.49 -68 32 29.4
OGLE-LMC-CEP-0387 04 55 31.30 -68 53 00.6
OGLE-LMC-CEP-0390 04 55 34.05 -68 56 47.0
OGLE-LMC-CEP-0392 04 55 35.08 -68 41 23.4
OGLE-LMC-CEP-0394 04 55 41.46 -68 06 55.5
OGLE-LMC-CEP-0396 04 55 42.67 -71 13 06.0
OGLE-LMC-CEP-0398 04 55 45.04 -69 09 32.0
