     2.464     -1.907    -13.659
     2.690      0.516    -14.562
     2.606     -1.281    -18.460
     2.523     -0.686    -14.720
     2.406     -1.855    -16.110
     2.451     -1.061    -14.877
     2.361     -1.162    -13.080
     2.459     -0.311    -12.793
     2.372     -0.728    -12.286
     2.431     -1.129    -15.378
     2.260     -1.487    -12.212
     2.418     -0.877    -14.522
     2.168     -0.679     -7.868
     2.637     -0.674    -21.045
     2.324     -1.012    -14.018
     2.101     -0.521     -6.688
     2.217     -0.788    -11.153
     2.185     -1.161    -11.741
     2.245     -1.160    -13.327
     2.236     -0.624    -11.429
     2.496     -1.312    -20.977
     2.282     -1.371    -15.539
     2.490     -0.212    -17.725
     2.185     -0.469    -10.378
     2.200     -1.257    -14.068
     2.242     -0.543    -13.041
     2.157     -0.481    -10.807
     2.326     -0.923    -17.048
     2.063     -1.348    -11.379
     2.050     -1.264    -10.762
     2.384     -0.869    -18.818
     2.065     -0.990    -10.643
     2.262     -0.761    -15.354
     2.039     -1.491    -12.591
     2.259     -1.244    -18.177
     2.200     -1.184    -16.455
     1.604     -0.623      2.180
     2.290     -0.788    -18.223
     2.229     -1.797    -20.387
     2.113     -0.738    -13.941
     2.038      0.104     -9.023
     2.191     -0.262    -14.765
     2.229     -0.767    -19.060
     2.064     -0.418    -13.067
     2.180     -1.051    -19.104
     2.003     -1.350    -15.062
     2.124     -1.444    -19.730
     2.176     -0.621    -18.676
     1.796     -0.994     -8.728
     2.083     -1.232    -18.577
     1.871      0.409     -6.826
     1.775      1.755      0.442
     1.802     -1.592    -11.447
     1.940     -1.400    -15.485
     2.011     -0.808    -15.856
     1.815      0.011     -8.119
     1.806     -1.575    -13.365
     1.905     -1.316    -15.785
     1.984     -1.248    -18.292
     1.864     -0.910    -13.785
     1.363     -0.711      2.901
     1.774     -1.295    -12.687
     1.934     -1.321    -18.425
     1.952     -0.582    -17.146
     1.821     -0.924    -14.026
     1.585     -0.490     -4.849
     1.936     -0.648    -17.696
     1.823     -0.085    -12.365
     1.759     -0.607    -12.312
     1.758     -1.237    -14.359
     1.706     -0.767    -11.099
     1.733     -0.192    -11.258
     1.993     -0.717    -22.164
     1.645      0.159     -7.796
     1.769      0.044    -12.837
     1.602     -1.016    -10.421
     1.681      0.246     -9.310
     1.793     -0.027    -14.920
     1.548     -0.720     -8.468
     1.918     -1.069    -23.464
     1.528      0.001     -8.485
     1.553     -1.033    -12.978
     1.663     -0.312    -15.138
     1.845     -1.057    -24.931
     1.746     -0.930    -20.837
     1.537     -0.770    -12.622
     1.587      0.176    -11.608
     1.639     -0.696    -16.697
     1.700     -1.339    -22.314
     1.645     -1.094    -19.951
     1.460     -0.242     -9.774
     1.590     -1.350    -19.701
     1.528     -0.298    -13.954
     1.625     -1.338    -21.396
     1.388     -0.434     -8.771
     1.621     -1.595    -22.326
     1.496     -0.912    -15.154
     1.603     -0.166    -17.315
     1.464     -0.174    -11.640
